# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = model_3b9369c454f7cc33f5312782bdce604d_model
# start_datetime = 2026-07-24 07:14:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/gw/hc72by314msbfbhm58gh0fgc0000gn/T/Rtmp7fDTmz/standata-15efa3ffd02b3.json
# init = 2 (Default)
# random
#   seed = 20260720
# output
#   file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_3b9369c454f7cc33f5312782bdce604d-202607240914-1-767156.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_3b9369c454f7cc33f5312782bdce604d-profile-202607240914-1-24f0ca.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=model_3b9369c454f7cc33f5312782bdce604d_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,Intercept,sigma,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.773587
# Diagonal elements of inverse mass matrix:
# 1.51912, 13.819, 0.00281575
-962.63778,0.98594227,0.77358713,2,3,0,962.98822,11.647348,303.79083,47.538069,-14.783115,251.37777
-963.18945,0.9468507,0.77358713,3,7,0,964.55077,8.8371698,297.52034,51.945665,-14.838875,257.75308
-962.50374,0.99953324,0.77358713,3,7,0,964.40185,10.153923,304.14635,49.255921,-14.799525,258.45369
-964.2255,0.85937658,0.77358713,2,3,0,965.19062,8.1397949,292.98413,46.540448,-14.726347,256.35505
-963.8357,0.98435364,0.77358713,3,7,0,966.28188,7.9068446,300.23779,50.847895,-14.807961,264.65699
-962.86944,0.96728156,0.77358713,2,3,0,964.97502,8.3129856,295.64997,48.000377,-14.755613,258.24154
-962.76452,0.97311084,0.77358713,3,7,0,964.61015,12.67936,299.9026,48.21261,-14.809835,242.84548
-961.3968,0.91032911,0.77358713,3,7,0,964.33352,10.1172,300.955,48.470309,-14.782585,255.4276
-961.3594,0.85571246,0.77358713,3,7,0,963.18574,10.662959,295.85088,47.199677,-14.764288,247.86756
-962.34279,0.79530781,0.77358713,2,3,0,963.66913,8.6778999,297.5772,49.477411,-14.787946,258.52665
-961.95701,0.99696185,0.77358713,3,7,0,962.99438,11.044681,296.09472,50.307773,-14.830955,246.39366
-962.23292,0.96483715,0.77358713,1,1,0,962.31047,10.841286,295.73376,50.946635,-14.841407,246.94797
-961.16199,0.98224272,0.77358713,2,3,0,962.55389,10.055138,298.21875,46.660031,-14.745797,252.97063
-964.37701,0.68939614,0.77358713,2,3,0,964.57992,9.9577837,289.53802,49.366268,-14.804153,244.728
-962.24978,0.95881467,0.77358713,2,3,0,965.20241,11.400278,302.74853,46.231241,-14.753474,251.44728
-964.21923,0.79305031,0.77358713,2,3,0,965.74465,8.5991805,291.30742,47.846194,-14.758051,252.61111
-961.56364,0.92592562,0.77358713,3,7,0,965.02335,11.173762,301.40595,47.789372,-14.781517,251.12402
-961.12196,0.94811001,0.77358713,1,3,0,962.16366,10.031343,298.66927,47.831149,-14.768884,253.52823
-961.66886,0.89868706,0.77358713,3,7,0,962.37002,9.9334899,298.34543,50.166366,-14.814551,253.64472
-963.1182,0.86750296,0.77358713,2,3,0,963.84369,11.065754,299.46005,52.825677,-14.880824,249.66416
-962.41658,1,0.77358713,1,1,0,963.07352,10.817017,298.89021,51.823889,-14.857811,250.21363
-964.13286,0.88646922,0.77358713,2,3,0,964.60102,9.4542067,299.00436,42.235472,-14.650683,256.46043
-964.67821,0.835628,0.77358713,2,7,0,967.42215,9.3849167,291.83247,52.743265,-14.8634,249.60034
-962.42022,0.88746371,0.77358713,3,7,0,966.69365,11.247914,301.43214,44.566607,-14.717989,250.81652
-962.42022,0.78688136,0.77358713,1,1,0,963.40341,11.247914,301.43214,44.566607,-14.717989,250.81652
-961.39867,1,0.77358713,2,3,0,962.48015,10.843937,296.30561,48.661389,-14.795506,247.50789
-962.1774,0.88307745,0.77358713,3,7,0,963.12133,8.7825743,298.60779,49.379946,-14.786815,259.08621
-962.29688,0.97529211,0.77358713,3,7,0,963.29926,10.141278,301.71845,44.569724,-14.704946,256.0827
-961.45465,0.98098316,0.77358713,2,3,0,962.70146,10.010004,301.41725,47.639722,-14.764829,256.37223
-962.09921,0.95369255,0.77358713,2,3,0,962.16235,9.7825874,302.99733,46.614013,-14.742163,258.97568
-962.25437,0.90922653,0.77358713,3,7,0,963.92767,11.281881,293.94641,49.119006,-14.811192,243.17795
-963.10213,0.95545502,0.77358713,2,3,0,963.43607,9.6522579,302.85954,44.234146,-14.693118,259.42438
-963.46377,0.92685259,0.77358713,1,1,0,963.76113,9.5708904,303.18506,43.986312,-14.687391,260.11606
-964.30189,0.81940923,0.77358713,3,7,0,967.11083,11.302704,290.06121,49.928096,-14.830741,239.19904
-961.36036,1,0.77358713,2,3,0,964.22755,10.567955,295.78607,47.252507,-14.764251,248.23027
-961.25783,0.99932122,0.77358713,3,7,0,961.46319,10.027915,300.38674,47.251928,-14.75718,255.26112
-962.87557,0.5687393,0.77358713,3,7,0,968.13012,12.522263,296.49269,46.120301,-14.766404,240.14251
-964.08168,0.91304728,0.77358713,2,3,0,965.2655,7.5720668,300.8291,46.981728,-14.72779,266.7548
-962.23659,0.89303931,0.77358713,2,3,0,966.9184,10.475168,303.3209,45.937292,-14.736526,256.18264
-962.66577,0.96623263,0.77358713,3,7,0,963.58971,12.531399,300.66348,48.227646,-14.808085,244.27219
-961.91177,1,0.77358713,2,3,0,962.68051,12.046716,299.11134,47.405705,-14.785045,244.90112
-963.21134,0.75858291,0.77358713,2,3,0,964.85123,11.557521,293.00583,45.337756,-14.739678,240.99699
-962.02782,0.99882597,0.77358713,3,7,0,963.4108,9.3883409,302.14543,48.70736,-14.779612,259.89789
-962.28367,0.9907063,0.77358713,3,7,0,962.85722,12.270928,296.99816,46.966935,-14.77971,241.77899
-961.52466,0.99664119,0.77358713,2,3,0,962.60747,9.3598154,297.68249,48.396315,-14.773133,255.56332
-963.03174,0.86800813,0.77358713,2,3,0,963.39633,8.0115141,299.45274,48.155776,-14.755056,263.40092
-962.69449,0.94876629,0.77358713,2,3,0,964.37162,9.1785226,303.7833,48.25148,-14.768816,262.47995
-961.76226,0.98543742,0.77358713,2,3,0,963.15123,10.458572,302.19582,49.084854,-14.798973,255.13224
-962.26551,0.82746953,0.77358713,2,3,0,964.14043,8.8016499,298.89877,49.758697,-14.794541,259.29134
-962.48949,0.96079164,0.77358713,3,7,0,963.72252,10.945935,292.82127,46.883422,-14.763076,243.56456
-962.8487,0.98617074,0.77358713,2,7,0,963.05399,9.5907811,304.71642,47.331762,-14.755117,261.5579
-964.80456,0.85228051,0.77358713,2,3,0,965.69752,12.280313,290.676,46.607397,-14.776544,235.4146
-964.77828,0.9899375,0.77358713,3,7,0,967.19417,12.000093,294.72122,53.853644,-14.914735,240.7208
-961.36149,1,0.77358713,2,3,0,964.47938,10.934408,300.32242,48.647826,-14.795652,251.11758
-961.37923,0.99902435,0.77358713,2,7,0,961.4817,11.164069,299.31477,48.818675,-14.801907,249.07646
-961.24631,0.9996272,0.77358713,3,7,0,961.47874,10.30297,297.77069,46.066312,-14.736815,251.40732
-961.33589,0.98115979,0.77358713,2,3,0,961.53737,10.959997,296.84223,46.488176,-14.753264,247.52225
-963.78246,0.7694481,0.77358713,2,3,0,964.11049,9.719514,299.64317,42.426177,-14.65728,255.90536
-963.70188,1,0.77358713,2,3,0,964.5025,10.603314,300.22905,42.38105,-14.666353,252.51414
-964.79588,0.71928723,0.77358713,2,3,0,967.71715,8.9611888,290.39156,46.054732,-14.726591,250.06621
-963.82698,1,0.77358713,3,7,0,966.55834,10.754368,290.23785,48.962479,-14.804536,241.8432
-964.6235,0.96181301,0.77358713,3,7,0,964.91698,10.346369,289.21126,49.888697,-14.819332,242.6526
-962.51963,1,0.77358713,2,3,0,965.37221,11.758331,301.16667,50.616886,-14.845484,248.25418
-961.80966,0.9926626,0.77358713,3,7,0,963.25296,10.729679,294.81571,46.114024,-14.743851,246.53216
-962.04313,0.76358106,0.77358713,2,3,0,965.08361,9.7948592,301.84483,45.440758,-14.718553,257.76797
-961.42612,0.99174778,0.77358713,3,7,0,962.34819,9.4362567,299.39711,47.758326,-14.760921,256.93396
-961.31899,0.98618051,0.77358713,2,3,0,961.65855,9.617792,299.02123,46.942107,-14.746548,255.74116
-961.47513,0.98180843,0.77358713,3,7,0,961.69743,10.418403,295.26361,47.686723,-14.771426,248.38079
-964.69344,0.73864147,0.77358713,2,3,0,965.15625,7.2789459,296.36625,46.794826,-14.722259,263.61099
-964.50909,1,0.77358713,3,7,0,964.97759,13.61148,300.71212,48.928892,-14.8378,239.46046
-966.43402,0.81386881,0.77358713,2,3,0,968.70062,13.09936,306.62027,51.57495,-14.885288,247.67315
-961.3028,1,0.77358713,2,3,0,965.83829,10.998157,300.15452,48.246488,-14.788398,250.66282
-961.51926,0.91092805,0.77358713,3,7,0,962.32463,9.8081465,295.67946,47.208255,-14.75481,251.5428
-961.80306,0.96860553,0.77358713,3,7,0,962.16253,10.36583,302.83828,47.774672,-14.771859,256.19204
-961.74276,0.9986112,0.77358713,2,7,0,962.07244,10.992285,302.23912,48.328123,-14.790209,252.77384
-962.08247,0.96190948,0.77358713,3,7,0,962.68458,9.281547,295.55386,49.433802,-14.793792,253.7869
-963.04699,0.9091261,0.77358713,3,7,0,964.10393,8.6972208,300.76946,44.795504,-14.69423,261.63196
-963.72069,0.79644747,0.77358713,3,7,0,966.58112,10.507151,291.03399,50.563519,-14.832891,243.75181
-962.09159,0.98303664,0.77358713,2,3,0,964.73244,11.409114,302.45847,48.927508,-14.807435,251.11746
-963.37853,0.91843929,0.77358713,2,3,0,963.61907,8.4648687,294.30777,45.974488,-14.717185,256.21586
-963.41442,1,0.77358713,2,3,0,963.99705,8.0480051,295.34327,47.040634,-14.734148,259.12724
-961.10448,1,0.77358713,2,3,0,963.16892,10.503341,297.46217,47.18086,-14.761496,250.19713
-962.20593,0.89365623,0.77358713,2,3,0,962.32677,10.279441,296.19366,44.298804,-14.701672,249.93618
-961.50047,0.99774437,0.77358713,2,3,0,962.42237,11.203276,299.37453,49.259411,-14.811205,248.95979
-962.56267,0.88932108,0.77358713,2,3,0,963.21982,9.3646392,298.96029,44.057228,-14.686186,256.81942
-963.46566,0.92562212,0.77358713,3,7,0,964.31255,9.4534079,294.22607,43.877681,-14.685136,251.68574
-962.87753,0.99419847,0.77358713,3,7,0,964.77596,9.9388239,305.09874,47.440813,-14.761262,260.37403
-961.87199,0.71042806,0.77358713,2,3,0,967.19949,9.2287431,295.67932,47.321742,-14.750952,254.14998
-961.98632,0.99303348,0.77358713,3,7,0,962.55377,11.46406,294.73316,48.282847,-14.796325,243.14489
-963.4925,0.89754166,0.77358713,3,7,0,963.72002,9.9036688,306.04324,46.961479,-14.751814,261.47673
-963.72445,0.98806403,0.77358713,3,7,0,964.59326,11.214521,290.65314,48.930954,-14.809125,240.1878
-962.23014,0.94690977,0.77358713,2,3,0,964.78252,11.103338,296.28288,50.976479,-14.844979,246.31786
-961.46724,0.89041196,0.77358713,2,3,0,963.8481,10.066412,295.77407,48.47884,-14.783033,250.47522
-962.6281,0.63872985,0.77358713,1,3,0,965.46505,11.658578,302.34762,50.385246,-14.839761,249.88402
-961.62988,1,0.77358713,2,3,0,962.93557,11.726578,298.69185,46.905557,-14.77086,245.92224
-961.79376,0.97285829,0.77358713,2,3,0,962.25274,9.2921166,296.60179,46.25293,-14.729872,254.78726
-961.24588,0.99969616,0.77358713,2,3,0,961.91026,9.9517913,299.57777,46.600104,-14.7433,254.79471
-964.27406,0.72341614,0.77358713,2,3,0,964.4798,13.018726,293.2763,48.471315,-14.822114,234.69203
-962.89476,1,0.77358713,2,3,0,964.41479,11.936176,293.85317,49.737209,-14.832052,240.14037
-962.62526,0.86165143,0.77358713,2,3,0,965.46516,12.361708,301.33612,48.717238,-14.815597,245.70843
-963.05531,0.90220243,0.77358713,2,3,0,964.30296,12.601767,301.91838,48.58431,-14.816363,245.21043
-964.01329,0.90553455,0.77358713,3,7,0,965.08904,8.4072332,292.84764,50.319491,-14.804483,255.01509
-963.3997,0.95445286,0.77358713,3,7,0,966.17914,11.338676,292.04438,45.700499,-14.744868,241.02034
-964.94307,0.92864206,0.77358713,2,3,0,966.59202,8.8994693,303.8902,43.374348,-14.668512,263.84259
-965.09478,1,0.77358713,3,7,0,966.76538,12.093093,292.65607,53.278841,-14.905787,238.23715
-961.4343,1,0.77358713,2,3,0,964.81676,10.482685,299.58457,49.588018,-14.809085,252.41248
-962.5942,0.91597168,0.77358713,3,7,0,962.85863,8.9211709,297.56438,50.889805,-14.818576,257.41911
-962.14849,0.89180276,0.77358713,3,7,0,964.97988,11.85242,296.96259,45.614907,-14.747071,243.6267
-963.0736,0.87934104,0.77358713,2,3,0,964.77494,8.0052554,299.61408,47.473889,-14.741355,263.59043
-961.83641,0.90590953,0.77358713,2,3,0,965.10639,10.066023,298.37852,50.666278,-14.826016,253.08141
-961.80053,0.96962519,0.77358713,3,7,0,962.52539,10.869752,298.6341,44.681312,-14.715627,249.72022
-961.96006,0.73620542,0.77358713,3,7,0,964.85608,10.347373,294.2284,46.210099,-14.741617,247.66523
-962.90486,0.93562194,0.77358713,2,3,0,962.95221,10.504542,304.26709,50.526713,-14.829015,256.99665
-961.1412,0.95219703,0.77358713,2,3,0,963.85799,10.881982,299.10152,47.872092,-14.779537,250.13261
-961.42368,0.89664451,0.77358713,1,3,0,962.24349,9.4108862,297.97213,47.345488,-14.752586,255.62314
-962.26531,0.90616236,0.77358713,2,3,0,962.84647,8.9419209,298.64195,50.180013,-14.804381,258.40331
-965.46847,0.78655839,0.77358713,3,7,0,966.28077,10.866258,294.81829,55.471306,-14.932634,245.92013
-963.83321,0.98734085,0.77358713,3,7,0,965.93767,10.424469,292.74721,52.449269,-14.868255,245.8371
-963.40285,1,0.77358713,2,3,0,964.4725,9.8624251,291.66815,50.279327,-14.819363,247.28724
-963.28344,0.93506386,0.77358713,3,7,0,965.68644,11.351794,304.95156,46.002395,-14.749132,253.86849
-962.33415,1,0.77358713,2,3,0,963.95111,10.315511,295.39991,51.103028,-14.838503,248.98011
-961.93686,0.98067365,0.77358713,3,7,0,963.34642,11.213312,297.97276,44.73299,-14.720988,247.51286
-961.40496,0.82371708,0.77358713,2,3,0,964.10477,10.122862,301.20463,48.126499,-14.775799,255.65176
-961.61875,0.96325596,0.77358713,3,7,0,962.07582,10.568494,295.57244,49.242819,-14.804156,248.01421
-961.32297,0.92729726,0.77358713,3,7,0,962.76404,10.615149,300.60966,46.493065,-14.748748,252.84149
-961.08167,0.95503715,0.77358713,3,7,0,961.79218,10.658165,297.95225,47.308888,-14.765764,249.99051
-961.64065,0.87735331,0.77358713,3,7,0,962.31754,10.740958,295.17625,46.396182,-14.749448,246.84194
-961.40688,1,0.77358713,1,1,0,961.61282,10.64905,295.91569,46.595575,-14.752014,247.99496
-961.41106,0.7283823,0.77358713,3,7,0,964.34762,9.9038063,299.18225,45.801548,-14.726824,254.61512
-961.99363,0.95457708,0.77358713,2,3,0,962.08197,9.8453964,301.32559,45.164888,-14.713504,257.02131
-962.59844,0.62178716,0.77358713,2,3,0,966.55909,11.214153,302.0218,51.12394,-14.848816,251.55811
-961.1107,0.895187,0.77358713,3,7,0,964.29389,10.347632,298.93554,46.70285,-14.749867,252.3712
-961.55147,0.88229527,0.77358713,1,3,0,962.21219,11.542274,299.8943,48.181993,-14.793921,247.95407
-961.5823,0.89851913,0.77358713,3,7,0,962.93761,10.464566,296.231,45.572325,-14.729262,249.14045
-961.42532,0.91562915,0.77358713,2,3,0,962.66128,10.675054,297.32984,49.477022,-14.809474,249.2921
-961.80208,0.84200793,0.77358713,1,3,0,963.42679,10.453841,302.7701,47.082973,-14.759023,255.72782
-962.47235,0.95078295,0.77358713,2,3,0,962.74123,9.5872115,293.69526,49.614363,-14.801606,250.55281
-963.84747,0.87440508,0.77358713,2,3,0,964.81204,12.55734,301.27106,44.494203,-14.733836,244.76303
-963.92991,1,0.77358713,3,7,0,965.42834,9.9451814,296.57131,53.904416,-14.889892,251.81799
-961.97955,1,0.77358713,2,3,0,964.22127,9.0766537,296.7958,49.240916,-14.787369,255.95086
-961.93063,1,0.77358713,3,7,0,962.37618,11.840701,299.75312,46.171917,-14.757599,246.46996
-963.07449,0.90961062,0.77358713,2,3,0,963.80765,9.5484574,292.73153,45.628278,-14.722126,249.76347
-961.94004,1,0.77358713,2,3,0,963.1567,9.2086513,295.91761,46.494745,-14.734107,254.47868
-963.41545,0.8332378,0.77358713,2,3,0,964.21641,8.88167,304.52543,46.785828,-14.736833,264.55791
-963.73822,0.98756631,0.77358713,3,7,0,964.27231,8.3678988,303.24171,45.923387,-14.714162,265.58616
-961.96464,0.94820796,0.77358713,2,3,0,965.67062,10.4843,298.92033,44.285403,-14.703101,251.74098
-961.49437,0.98007973,0.77358713,2,3,0,962.36647,10.130565,296.43915,45.841018,-14.730738,250.8516
-962.02205,0.87594789,0.77358713,3,7,0,963.15501,11.369169,302.6769,47.742712,-14.78329,251.51564
-961.71676,0.99894275,0.77358713,3,7,0,962.30777,9.5165301,296.01962,48.904174,-14.785457,253.19523
-961.54481,0.97504253,0.77358713,3,7,0,962.43472,11.340839,300.30924,46.453663,-14.756798,249.27547
-961.85281,0.93645257,0.77358713,2,3,0,962.70313,9.3098536,296.08848,46.34227,-14.73203,254.19414
-961.33198,1,0.77358713,2,3,0,961.84792,9.6542132,298.0989,46.636773,-14.740964,254.65494
-961.73144,0.97402565,0.77358713,2,3,0,961.75688,9.1614058,298.75595,46.355656,-14.730087,257.52962
-962.33173,0.89535364,0.77358713,2,3,0,963.11312,8.8351881,301.27292,46.559651,-14.730909,261.51457
-961.41176,0.93192894,0.77358713,2,3,0,963.35148,11.266365,297.0556,46.719778,-14.761614,246.35696
-961.36348,0.99413958,0.77358713,3,7,0,961.74728,9.6736596,299.42036,48.529173,-14.778857,255.88889
-961.44142,0.99583031,0.77358713,2,7,0,961.61233,9.4796752,297.60085,48.312452,-14.772729,254.94231
