# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = model_3b9369c454f7cc33f5312782bdce604d_model
# start_datetime = 2026-07-24 07:22:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 750
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/gw/hc72by314msbfbhm58gh0fgc0000gn/T/Rtmphdnny5/standata-f8a652c373c8.json
# init = 2 (Default)
# random
#   seed = 1541705253
# output
#   file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_3b9369c454f7cc33f5312782bdce604d-202607240922-1-4db6a3.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_3b9369c454f7cc33f5312782bdce604d-profile-202607240922-1-89ce58.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=model_3b9369c454f7cc33f5312782bdce604d_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,Intercept,sigma,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.825475
# Diagonal elements of inverse mass matrix:
# 1.69251, 12.7413, 0.00317728
-807.85164,0.86412559,0.82547494,2,3,0,808.0927,10.473356,290.04384,47.761255,-14.777389,242.91373
-807.07962,0.99871738,0.82547494,3,7,0,809.08206,9.5165827,307.03253,49.342179,-14.795898,264.20791
-805.10402,0.98366918,0.82547494,3,7,0,807.45765,11.777484,298.64186,48.361716,-14.800655,245.64318
-805.24081,0.98479906,0.82547494,2,3,0,805.46158,10.354782,299.62814,45.917168,-14.734185,253.03162
-805.48741,0.82061317,0.82547494,3,7,0,807.45471,11.105375,297.71345,51.166562,-14.848377,247.73926
-806.20739,0.8453154,0.82547494,2,3,0,807.61788,11.70617,305.46526,49.414414,-14.82218,252.78749
-806.06705,0.95802465,0.82547494,2,3,0,807.32007,12.695099,301.17047,46.667253,-14.779218,244.04252
-806.79604,0.8767038,0.82547494,1,1,0,806.88408,13.102215,302.36727,46.448804,-14.780895,243.4073
-805.26245,1,0.82547494,2,3,0,807.13722,11.095883,297.17197,46.383748,-14.752742,247.2405
-805.52553,0.97579832,0.82547494,2,7,0,805.92499,10.416828,303.76413,47.246379,-14.762187,256.8884
-805.7274,0.9651797,0.82547494,2,3,0,806.31653,11.969735,303.66498,48.495292,-14.806442,249.80117
-806.68048,0.85759267,0.82547494,2,7,0,808.10971,13.081425,299.70955,51.476885,-14.880878,240.84314
-805.19193,0.97844471,0.82547494,3,7,0,807.20397,10.336004,302.51207,48.737541,-14.790686,256.00005
-805.04115,0.99184408,0.82547494,2,3,0,805.3507,11.526418,298.19343,47.686746,-14.783976,246.32455
