# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = model_f6d203da4b4be6518c3b213b4e726920_model
# start_datetime = 2026-07-24 07:21:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 750
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/gw/hc72by314msbfbhm58gh0fgc0000gn/T/RtmpobtKPD/standata-f6804b647d4d.json
# init = 2 (Default)
# random
#   seed = 1769863067
# output
#   file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_f6d203da4b4be6518c3b213b4e726920-202607240921-1-56f64b.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_f6d203da4b4be6518c3b213b4e726920-profile-202607240921-1-199830.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=model_f6d203da4b4be6518c3b213b4e726920_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,Intercept,sigma,sd_1.1,sd_1.2,z_1.1.1,z_1.2.1,z_1.1.2,z_1.2.2,z_1.1.3,z_1.2.3,z_1.1.4,z_1.2.4,z_1.1.5,z_1.2.5,z_1.1.6,z_1.2.6,z_1.1.7,z_1.2.7,z_1.1.8,z_1.2.8,z_1.1.9,z_1.2.9,z_1.1.10,z_1.2.10,z_1.1.11,z_1.2.11,z_1.1.12,z_1.2.12,z_1.1.13,z_1.2.13,z_1.1.14,z_1.2.14,z_1.1.15,z_1.2.15,L_1.1.1,L_1.2.1,L_1.1.2,L_1.2.2,r_1.1.1,r_1.2.1,r_1.3.1,r_1.4.1,r_1.5.1,r_1.6.1,r_1.7.1,r_1.8.1,r_1.9.1,r_1.10.1,r_1.11.1,r_1.12.1,r_1.13.1,r_1.14.1,r_1.15.1,r_1.1.2,r_1.2.2,r_1.3.2,r_1.4.2,r_1.5.2,r_1.6.2,r_1.7.2,r_1.8.2,r_1.9.2,r_1.10.2,r_1.11.2,r_1.12.2,r_1.13.2,r_1.14.2,r_1.15.2,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,r_1_1.10,r_1_1.11,r_1_1.12,r_1_1.13,r_1_1.14,r_1_1.15,r_1_2.1,r_1_2.2,r_1_2.3,r_1_2.4,r_1_2.5,r_1_2.6,r_1_2.7,r_1_2.8,r_1_2.9,r_1_2.10,r_1_2.11,r_1_2.12,r_1_2.13,r_1_2.14,r_1_2.15,lprior,b_Intercept,Cor_1.1.1,Cor_1.2.1,Cor_1.1.2,Cor_1.2.2,cor_1.1
# Adaptation terminated
# Step size = 0.0927203
# Diagonal elements of inverse mass matrix:
# 3.89895, 133.422, 0.00407086, 0.114587, 0.0753903, 0.393138, 0.309163, 0.373648, 0.505421, 0.355922, 0.330398, 0.299263, 0.247239, 0.309147, 0.304391, 0.262627, 0.265365, 0.410658, 0.397062, 0.39607, 0.498914, 0.360953, 0.345326, 0.407436, 0.316269, 0.314891, 0.329289, 0.368284, 0.343036, 0.417373, 0.333932, 0.316771, 0.23363, 0.322399, 0.254663, 0.14318
-762.12348,0.92867682,0.092720288,5,31,0,775.96769,8.5350892,281.57003,25.895353,26.067206,9.2452976,0.88934854,0.63373151,-0.99908191,-0.11116933,1.1304611,-0.582812,1.1304,-0.76408701,1.2368438,-0.51461601,0.79344247,-0.12979794,-0.0011417243,-1.1240692,1.0637725,1.3458636,-0.085924499,0.0091251757,-0.53145458,1.282677,2.1362281,-0.54537982,0.91492924,-0.19095264,-0.64974656,0.80178993,-0.16429343,-0.1572409,0.68369808,0.28998286,1,0.32959459,0,0.94412256,23.182832,-26.043274,29.467963,29.46637,32.241063,20.682829,-0.029761562,27.729577,-2.2398117,-13.853536,55.6855,23.849649,-16.937078,-4.2826707,17.822099,8.2416714,-4.0147655,-1.6424465,-3.2249268,-0.72301513,1.2848114,-9.8151352,14.989159,-0.18217827,9.5766462,1.7490609,1.1212053,5.0186713,-1.8731427,4.6145365,23.182832,-26.043274,29.467963,29.46637,32.241063,20.682829,-0.029761562,27.729577,-2.2398117,-13.853536,55.6855,23.849649,-16.937078,-4.2826707,17.822099,8.2416714,-4.0147655,-1.6424465,-3.2249268,-0.72301513,1.2848114,-9.8151352,14.989159,-0.18217827,9.5766462,1.7490609,1.1212053,5.0186713,-1.8731427,4.6145365,-23.264606,243.16213,1,0.32959459,0.32959459,1,0.32959459
-765.8543,0.99178276,0.092720288,6,63,0,783.80513,12.611604,291.37122,32.891128,30.087879,6.5371622,0.70066153,0.80775733,-0.76512481,-0.68168473,0.42818749,-0.20506811,0.050880241,0.049790465,1.0438217,-0.93805667,-0.14529317,0.26145781,-0.25645287,-1.5829693,1.3823046,1.3571629,-0.96022695,1.162959,-0.29025417,1.5104376,1.5959205,-0.75905461,0.23208413,0.33755733,-0.41037775,0.76522481,0.78992873,-1.2561276,1.3049991,-0.78688451,1,0.40532254,0,0.91417375,21.081419,-23.020983,12.883253,1.5308785,31.40638,-4.3715634,-7.7161229,41.590612,-28.891192,-8.7331325,48.017864,6.9829193,-12.347396,23.76728,39.264654,6.6837545,-6.1011375,-0.090957078,0.4323682,-2.8401508,1.1775212,-10.139499,11.77318,4.4056877,8.2574548,-0.30754235,2.6322209,3.4857004,-5.4137047,-1.2446994,21.081419,-23.020983,12.883253,1.5308785,31.40638,-4.3715634,-7.7161229,41.590612,-28.891192,-8.7331325,48.017864,6.9829193,-12.347396,23.76728,39.264654,6.6837545,-6.1011375,-0.090957078,0.4323682,-2.8401508,1.1775212,-10.139499,11.77318,4.4056877,8.2574548,-0.30754235,2.6322209,3.4857004,-5.4137047,-1.2446994,-23.529874,234.619,1,0.40532254,0.40532254,1,0.40532254
-761.19691,0.90728194,0.092720288,6,63,0,783.55596,13.474814,311.16499,23.465362,16.336381,6.6057462,-0.1775339,1.298112,-2.1425037,-0.76221149,0.42693705,-0.66794104,0.80852051,-1.0870869,-0.19072851,0.21565224,-0.83670296,0.3099566,-0.51949592,-1.9420927,1.5372989,0.56756623,-0.61943912,-0.48243931,-0.2182214,0.46473791,-0.58140955,1.1276702,-0.33200451,-0.073833078,-1.2787756,0.6132389,0.1672434,-0.61311952,-0.55459501,0.19849745,1,0.39701348,0,0.91781278,-2.9002614,-35.000757,6.9746063,13.208299,-3.1158136,-13.668698,-8.4866833,25.1139,-10.119393,-3.5649479,-9.4981279,-5.4237522,-20.890566,2.7321519,-9.0600754,7.4046478,-10.240032,-2.9299461,-4.47043,0.80726574,-0.3150956,-13.137009,7.4727367,-4.5494742,2.2453298,5.3120944,-1.3183432,0.3642893,-3.2786369,-0.25100646,-2.9002614,-35.000757,6.9746063,13.208299,-3.1158136,-13.668698,-8.4866833,25.1139,-10.119393,-3.5649479,-9.4981279,-5.4237522,-20.890566,2.7321519,-9.0600754,7.4046478,-10.240032,-2.9299461,-4.47043,0.80726574,-0.3150956,-13.137009,7.4727367,-4.5494742,2.2453298,5.3120944,-1.3183432,0.3642893,-3.2786369,-0.25100646,-23.074775,250.52833,1,0.39701348,0.39701348,1,0.39701348
-763.81287,0.98234836,0.092720288,5,63,0,780.30061,13.178972,315.65467,30.356988,38.565051,8.4505628,-0.24166717,0.96798876,-0.9136995,-1.4015135,1.7549045,-1.03719,0.45015615,-0.35227903,1.1428575,-0.59025281,0.23253322,-0.32102854,-0.24825235,-1.9558071,0.8181024,0.87938586,-0.68082284,-0.56407292,-1.7516092,0.96177406,0.56404686,-0.10549678,-0.54594884,-0.062822205,-1.0713507,0.14826321,-1.0765402,-0.18356546,0.12103813,-0.2193838,1,-0.3118015,0,0.95014727,-9.3199068,-35.236868,67.677982,17.360295,44.074356,8.9676552,-9.5738646,31.55016,-26.255967,-67.550898,21.752496,-21.054544,-41.316693,-41.516827,4.6678415,8.4090203,-8.8456379,-12.951883,-4.0146623,-7.7506175,-3.1903291,-15.049602,4.905218,-2.7352001,12.337664,-2.3332691,0.93410255,4.0133466,1.3626754,-2.0804169,-9.3199068,-35.236868,67.677982,17.360295,44.074356,8.9676552,-9.5738646,31.55016,-26.255967,-67.550898,21.752496,-21.054544,-41.316693,-41.516827,4.6678415,8.4090203,-8.8456379,-12.951883,-4.0146623,-7.7506175,-3.1903291,-15.049602,4.905218,-2.7352001,12.337664,-2.3332691,0.93410255,4.0133466,1.3626754,-2.0804169,-23.62647,256.3493,1,-0.3118015,-0.3118015,1,-0.3118015
-775.80933,0.91357707,0.092720288,6,63,0,790.02494,11.957351,308.73123,27.707767,10.725158,4.2617908,0.48784733,1.4793087,-3.1062027,-0.91221827,-0.63774823,0.18498453,0.32036402,-0.81019846,-0.53140054,0.59902905,-1.7614511,0.86127719,-0.72967002,-2.6228327,1.9943212,1.3082487,-1.6807983,0.55163333,0.93644887,-0.055215879,1.1328015,0.71440653,0.72565012,-0.56293193,-1.3789173,0.65991311,1.4828495,-1.3220943,1.0340596,0.20177255,1,0.4122098,0,0.91108895,5.2322397,-33.314515,-6.8399506,3.4359548,-5.6993548,-18.891841,-7.8258263,21.38941,-18.026828,10.043562,12.149475,7.7827122,-14.789106,15.903795,11.090452,6.6009909,-8.998853,-0.40209447,-2.5830956,1.3924133,0.24979521,-11.465969,8.5832879,-0.8108249,1.4307123,4.7639993,-0.91100457,0.13994158,-2.5285225,2.6000428,5.2322397,-33.314515,-6.8399506,3.4359548,-5.6993548,-18.891841,-7.8258263,21.38941,-18.026828,10.043562,12.149475,7.7827122,-14.789106,15.903795,11.090452,6.6009909,-8.998853,-0.40209447,-2.5830956,1.3924133,0.24979521,-11.465969,8.5832879,-0.8108249,1.4307123,4.7639993,-0.91100457,0.13994158,-2.5285225,2.6000428,-22.991364,254.92315,1,0.4122098,0.4122098,1,0.4122098
-762.74254,0.99099256,0.092720288,6,63,0,793.78099,9.3070663,285.97708,24.94115,28.49455,7.8173715,0.10159781,1.4683952,-0.33815479,-0.99275671,2.0241731,-1.3886691,0.37747573,0.50433099,1.3987518,-0.78291851,0.37877388,-0.18080273,0.15231185,-1.1501733,1.6519982,0.99520884,-0.5454314,0.14477997,-1.1155792,2.2850372,0.89660187,0.49427928,-0.20414718,0.72942666,-0.67827204,0.83749729,-0.52758704,0.76161078,0.058256462,0.38303333,1,0.23693933,0,0.97152445,2.8949837,-9.6355683,57.677899,10.756001,39.856802,10.792991,4.3400574,47.072945,-15.541822,-31.787926,25.548266,-5.8170819,-19.327056,-15.033355,1.6599917,11.340304,-8.1661013,-6.7973592,4.5294533,-3.3552562,-0.67157355,-8.4531802,10.618282,0.089298844,15.288003,5.4146606,5.1616958,5.1042727,4.8070376,3.0169542,2.8949837,-9.6355683,57.677899,10.756001,39.856802,10.792991,4.3400574,47.072945,-15.541822,-31.787926,25.548266,-5.8170819,-19.327056,-15.033355,1.6599917,11.340304,-8.1661013,-6.7973592,4.5294533,-3.3552562,-0.67157355,-8.4531802,10.618282,0.089298844,15.288003,5.4146606,5.1616958,5.1042727,4.8070376,3.0169542,-23.20879,244.09529,1,0.23693933,0.23693933,1,0.23693933
