# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = model_f6d203da4b4be6518c3b213b4e726920_model
# start_datetime = 2026-07-24 09:01:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 750
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/gw/hc72by314msbfbhm58gh0fgc0000gn/T/RtmplrNIdY/standata-130d23412717f.json
# init = 2 (Default)
# random
#   seed = 1651743637
# output
#   file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_f6d203da4b4be6518c3b213b4e726920-202607241101-1-89dbe5.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_f6d203da4b4be6518c3b213b4e726920-profile-202607241101-1-044815.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=model_f6d203da4b4be6518c3b213b4e726920_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,Intercept,sigma,sd_1.1,sd_1.2,z_1.1.1,z_1.2.1,z_1.1.2,z_1.2.2,z_1.1.3,z_1.2.3,z_1.1.4,z_1.2.4,z_1.1.5,z_1.2.5,z_1.1.6,z_1.2.6,z_1.1.7,z_1.2.7,z_1.1.8,z_1.2.8,z_1.1.9,z_1.2.9,z_1.1.10,z_1.2.10,z_1.1.11,z_1.2.11,z_1.1.12,z_1.2.12,z_1.1.13,z_1.2.13,z_1.1.14,z_1.2.14,z_1.1.15,z_1.2.15,L_1.1.1,L_1.2.1,L_1.1.2,L_1.2.2,r_1.1.1,r_1.2.1,r_1.3.1,r_1.4.1,r_1.5.1,r_1.6.1,r_1.7.1,r_1.8.1,r_1.9.1,r_1.10.1,r_1.11.1,r_1.12.1,r_1.13.1,r_1.14.1,r_1.15.1,r_1.1.2,r_1.2.2,r_1.3.2,r_1.4.2,r_1.5.2,r_1.6.2,r_1.7.2,r_1.8.2,r_1.9.2,r_1.10.2,r_1.11.2,r_1.12.2,r_1.13.2,r_1.14.2,r_1.15.2,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,r_1_1.10,r_1_1.11,r_1_1.12,r_1_1.13,r_1_1.14,r_1_1.15,r_1_2.1,r_1_2.2,r_1_2.3,r_1_2.4,r_1_2.5,r_1_2.6,r_1_2.7,r_1_2.8,r_1_2.9,r_1_2.10,r_1_2.11,r_1_2.12,r_1_2.13,r_1_2.14,r_1_2.15,lprior,b_Intercept,Cor_1.1.1,Cor_1.2.1,Cor_1.1.2,Cor_1.2.2,cor_1.1
# Adaptation terminated
# Step size = 0.0977977
# Diagonal elements of inverse mass matrix:
# 3.33094, 104.249, 0.00440346, 0.0876656, 0.0572228, 0.369313, 0.284619, 0.337318, 0.494158, 0.312277, 0.415229, 0.28875, 0.318673, 0.327738, 0.285011, 0.261415, 0.262149, 0.269847, 0.226026, 0.268442, 0.198636, 0.322439, 0.357952, 0.330893, 0.345292, 0.365294, 0.306105, 0.287095, 0.266814, 0.273755, 0.269331, 0.255282, 0.245635, 0.337296, 0.297793, 0.123012
-757.67004,0.8818078,0.097797706,5,63,0,771.91038,8.3347257,289.97117,27.509963,16.994303,7.3617148,0.33452044,1.467174,-1.5223209,-1.440447,-1.1242602,-0.73305783,0.55127331,0.072093403,0.89631264,-0.26160738,0.76109631,0.30750862,0.57129799,0.071875741,-0.49025267,0.33197341,-0.21256413,-1.0543399,-1.1506396,0.35126549,-0.25137945,0.99120955,-1.0072036,0.19997069,1.880555,0.69321751,0.9609191,-0.079201731,0.5478019,0.59529446,1,-0.023842725,0,0.99971572,5.6849417,-25.870783,-19.106019,9.3685056,15.232208,12.934301,9.7088109,-8.3315023,-3.6123793,-19.554318,-4.2720185,-17.116724,31.958721,16.33015,9.3095114,10.73913,-10.333942,-5.1976947,0.43381886,-2.0826552,2.1295571,0.42870216,2.5292496,-7.7222332,2.7871453,7.3390506,1.6484965,4.7717376,-0.75155853,4.2849902,5.6849417,-25.870783,-19.106019,9.3685056,15.232208,12.934301,9.7088109,-8.3315023,-3.6123793,-19.554318,-4.2720185,-17.116724,31.958721,16.33015,9.3095114,10.73913,-10.333942,-5.1976947,0.43381886,-2.0826552,2.1295571,0.42870216,2.5292496,-7.7222332,2.7871453,7.3390506,1.6484965,4.7717376,-0.75155853,4.2849902,-22.949506,252.4649,1,-0.023842725,-0.023842725,1,-0.023842725
-756.81348,0.98262811,0.097797706,5,63,0,773.66453,8.8643435,273.12422,26.596018,25.193145,8.8529965,0.60019009,1.4172623,-0.56853036,-0.88899063,-1.1599411,-0.4803425,1.2566648,-0.33590786,1.5253169,-0.18524523,-0.13185605,0.7597428,0.90304011,-0.010708359,0.24261494,0.29132355,1.3436471,-1.5709248,-0.29352026,0.29330819,-0.17941161,1.2329262,1.4240349,-0.46191233,1.0023818,0.68824266,1.5253847,-0.15860024,1.223025,-0.0070666271,1,0.057705305,0,0.99833366,15.120676,-14.323068,-29.222565,31.659339,38.427531,-3.3218687,22.750421,6.1122334,33.850696,-7.3946985,-4.5199429,35.875919,25.25315,38.429238,30.811848,12.832726,-8.1475586,-4.8379576,-2.3268498,-0.85801181,6.6474319,0.36668837,2.6987322,-13.197796,2.4423803,10.805248,-3.3550047,6.5949385,-0.62248223,0.56234394,15.120676,-14.323068,-29.222565,31.659339,38.427531,-3.3218687,22.750421,6.1122334,33.850696,-7.3946985,-4.5199429,35.875919,25.25315,38.429238,30.811848,12.832726,-8.1475586,-4.8379576,-2.3268498,-0.85801181,6.6474319,0.36668837,2.6987322,-13.197796,2.4423803,10.805248,-3.3550047,6.5949385,-0.62248223,0.56234394,-23.163943,233.23467,1,0.057705305,0.057705305,1,0.057705305
-757.93672,0.78928099,0.097797706,6,63,0,776.51406,8.3564859,292.26217,26.039782,23.285469,6.0880619,-0.090271045,2.3535224,-1.916604,-1.4002156,-1.3316603,-0.82879734,0.32343268,-0.059779025,0.63999434,0.07224549,1.0526564,-0.077326978,0.54338113,-0.0051015017,-0.31469959,0.30530209,-0.60078365,-1.2252428,-1.5827189,0.89319335,-1.1237034,1.5165917,-0.43280607,0.11979581,1.3425312,0.50490887,0.1852978,0.27279536,0.27527683,0.13767991,1,-0.048784582,0,0.99880932,-2.1020037,-44.629024,-31.008336,7.5312819,14.902569,24.511599,12.652885,-7.3279278,-13.989529,-36.854354,-26.165961,-10.078093,31.261468,4.3147462,6.4099503,14.33814,-7.9452111,-4.6442538,-0.45956573,0.24923071,-0.78285359,-0.19240741,1.9499518,-7.2720377,5.9014149,9.5558541,0.85700083,2.6715199,1.6037835,0.7554476,-2.1020037,-44.629024,-31.008336,7.5312819,14.902569,24.511599,12.652885,-7.3279278,-13.989529,-36.854354,-26.165961,-10.078093,31.261468,4.3147462,6.4099503,14.33814,-7.9452111,-4.6442538,-0.45956573,0.24923071,-0.78285359,-0.19240741,1.9499518,-7.2720377,5.9014149,9.5558541,0.85700083,2.6715199,1.6037835,0.7554476,-23.020433,254.65798,1,-0.048784582,-0.048784582,1,-0.048784582
-755.32348,0.9989125,0.097797706,6,63,0,767.71792,6.3169326,288.53315,24.788571,23.266511,6.6956166,-0.01712065,1.8903682,-1.2461954,-1.1819495,-2.4934928,-0.25770675,1.5718706,-0.81876866,0.75653753,-0.009829045,0.71476341,0.015444444,0.3580528,0.91325222,-1.0442881,1.0791902,-0.14980758,-1.2708266,-1.7738918,0.9905852,-0.44114094,1.295911,0.18542012,-0.076906192,1.1340645,0.71163704,-0.69679522,0.41849946,0.54570216,0.62021941,1,-0.013087903,0,0.99991435,-0.39833778,-28.994618,-58.014876,36.571943,17.601988,16.630051,8.3306393,-24.29694,-3.4854997,-41.272271,-10.26381,4.3140793,26.385723,-16.211993,12.696585,12.657597,-7.8039967,-1.5068491,-5.619437,-0.13210246,0.040765373,6.0828863,7.3167379,-8.4951111,6.7874596,8.7148382,-0.53113893,4.6650608,2.8629332,4.104575,-0.39833778,-28.994618,-58.014876,36.571943,17.601988,16.630051,8.3306393,-24.29694,-3.4854997,-41.272271,-10.26381,4.3140793,26.385723,-16.211993,12.696585,12.657597,-7.8039967,-1.5068491,-5.619437,-0.13210246,0.040765373,6.0828863,7.3167379,-8.4951111,6.7874596,8.7148382,-0.53113893,4.6650608,2.8629332,4.104575,-22.991924,260.10695,1,-0.013087903,-0.013087903,1,-0.013087903
-757.13863,0.97205932,0.097797706,5,31,0,769.30032,6.5126916,288.31727,25.566594,21.989122,5.7172985,-0.076362425,1.8720915,-1.848091,-0.96481517,-2.4485008,-0.49304105,0.63973604,-0.048954924,0.75960184,0.25121584,0.17805367,0.58612785,1.5561455,-0.17303744,-0.47612349,0.72803621,0.44686689,-1.6382354,-0.77613531,0.44799465,0.26496481,1.3121821,-0.2143327,-0.040698437,0.46282146,1.4355407,-0.58621114,0.5928346,0.42750758,0.85775241,1,-0.058638028,0,0.99827931,-1.6791426,-40.637897,-53.840381,14.067233,16.702977,3.9152438,34.218272,-10.469537,9.8262104,-17.066534,5.8263435,-4.7129877,10.177037,-12.890268,9.4005161,10.710489,-4.8870702,-1.9931499,-0.49388052,1.1791472,3.285609,-1.5093039,4.314859,-9.4999767,2.8171121,7.4003981,-0.16042946,8.038131,3.5801082,4.7522658,-1.6791426,-40.637897,-53.840381,14.067233,16.702977,3.9152438,34.218272,-10.469537,9.8262104,-17.066534,5.8263435,-4.7129877,10.177037,-12.890268,9.4005161,10.710489,-4.8870702,-1.9931499,-0.49388052,1.1791472,3.285609,-1.5093039,4.314859,-9.4999767,2.8171121,7.4003981,-0.16042946,8.038131,3.5801082,4.7522658,-22.967289,259.01015,1,-0.058638028,-0.058638028,1,-0.058638028
-763.19225,0.92172076,0.097797706,6,63,0,780.60249,9.9026345,287.54335,25.634171,20.353514,8.1084687,-0.34227509,1.5957555,-1.8074248,-0.94369244,-1.9791298,-0.43972551,0.59620237,-0.35133482,0.45127322,-0.0069466491,0.55575185,0.17875758,1.181824,-0.17914237,-0.14022757,0.73249907,1.0585023,-1.5348276,-0.79779264,0.31505704,-0.20445422,0.6929067,0.29877813,0.34539103,0.79886033,0.87830269,-0.31726655,0.66767556,0.13372203,0.57461492,1,0.060619076,0,0.99816097,-6.9665007,-36.787445,-40.282246,12.134813,9.1849956,11.311503,24.054271,-2.8541237,21.544241,-16.237883,-4.1613617,6.0811847,16.259615,-6.4574891,2.7217131,12.7471,-8.5262282,-4.5317409,-2.5504983,0.16559027,1.7199522,-0.86899951,5.8595972,-11.901931,2.1577948,5.5075849,2.9422998,7.501255,5.2479248,4.7164067,-6.9665007,-36.787445,-40.282246,12.134813,9.1849956,11.311503,24.054271,-2.8541237,21.544241,-16.237883,-4.1613617,6.0811847,16.259615,-6.4574891,2.7217131,12.7471,-8.5262282,-4.5317409,-2.5504983,0.16559027,1.7199522,-0.86899951,5.8595972,-11.901931,2.1577948,5.5075849,2.9422998,7.501255,5.2479248,4.7164067,-23.015838,242.9815,1,0.060619076,0.060619076,1,0.060619076
