Reaction,Days,Subject,days_deprived
250.8006,2,308,0
321.4398,3,308,1
356.8519,4,308,2
414.6901,5,308,3
382.2038,6,308,4
290.1486,7,308,5
430.5853,8,308,6
466.3535,9,308,7
202.9778,2,309,0
204.707,3,309,1
207.7161,4,309,2
215.9618,5,309,3
213.6303,6,309,4
217.7272,7,309,5
224.2957,8,309,6
237.3142,9,309,7
234.32,2,310,0
232.8416,3,310,1
229.3074,4,310,2
220.4579,5,310,3
235.4208,6,310,4
255.7511,7,310,5
261.0125,8,310,6
247.5153,9,310,7
283.8565,2,330,0
285.133,3,330,1
285.7973,4,330,2
297.5855,5,330,3
280.2396,6,330,4
318.2613,7,330,5
305.3495,8,330,6
354.0487,9,330,7
301.8206,2,331,0
320.1153,3,331,1
316.2773,4,331,2
293.3187,5,331,3
290.075,6,331,4
334.8177,7,331,5
293.7469,8,331,6
371.5811,9,331,7
272.9613,2,332,0
309.7688,3,332,1
317.4629,4,332,2
309.9976,5,332,3
454.1619,6,332,4
346.8311,7,332,5
330.3003,8,332,6
253.8644,9,332,7
276.7693,2,333,0
299.8097,3,333,1
297.171,4,333,2
338.1665,5,333,3
332.0265,6,333,4
348.8399,7,333,5
333.36,8,333,6
362.0428,9,333,7
243.3647,2,334,0
254.6723,3,334,1
279.0244,4,334,2
284.1912,5,334,3
305.5248,6,334,4
331.5229,7,334,5
335.7469,8,334,6
377.299,9,334,7
254.4907,2,335,0
270.8021,3,335,1
251.4519,4,335,2
254.6362,5,335,3
245.4523,6,335,4
235.311,7,335,5
235.7541,8,335,6
237.2466,9,335,7
291.6112,2,337,0
346.1222,3,337,1
365.7324,4,337,2
391.8385,5,337,3
404.2601,6,337,4
416.6923,7,337,5
455.8643,8,337,6
458.9167,9,337,7
238.9256,2,349,0
254.922,3,349,1
250.7103,4,349,2
269.7744,5,349,3
281.5648,6,349,4
308.102,7,349,5
336.2806,8,349,6
351.6451,9,349,7
256.2046,2,350,0
255.5271,3,350,1
268.9165,4,350,2
329.7247,5,350,3
379.4445,6,350,4
362.9184,7,350,5
394.4872,8,350,6
389.0527,9,350,7
269.8939,2,351,0
280.5891,3,351,1
271.8274,4,351,2
304.6336,5,351,3
287.7466,6,351,4
266.5955,7,351,5
321.5418,8,351,6
347.5655,9,351,7
326.8785,2,352,0
346.8555,3,352,1
348.7402,4,352,2
352.8287,5,352,3
354.4266,6,352,4
360.4326,7,352,5
375.6406,8,352,6
388.5417,9,352,7
257.2424,2,369,0
277.6566,3,369,1
314.8222,4,369,2
317.2135,5,369,3
298.1353,6,369,4
348.1229,7,369,5
340.28,8,369,6
366.5131,9,369,7
238.9008,2,370,0
240.473,3,370,1
267.5373,4,370,2
344.1937,5,370,3
281.1481,6,370,4
347.5855,7,370,5
365.163,8,370,6
372.2288,9,370,7
277.8989,2,371,0
281.7895,3,371,1
279.1705,4,371,2
284.512,5,371,3
259.2658,6,371,4
304.6306,7,371,5
350.7807,8,371,6
369.4692,9,371,7
297.5968,2,372,0
310.6316,3,372,1
287.1726,4,372,2
329.6076,5,372,3
334.4818,6,372,4
343.2199,7,372,5
369.1417,8,372,6
364.1236,9,372,7
